CountyFIPS,StateDesc,StateAbbr,CountyName,scoring_referent,stroke_belt,cle8_point,cle8_lower,cle8_upper,cle8_range,cvh_cat_point,cvh_cat_lower,cvh_cat_upper,cvh_cat_stable,behavior_point,behavior_lower,behavior_upper,behavior_range,factor_point,factor_lower,factor_upper,factor_range,lpa_point,lpa_lower,lpa_upper,lpa_range,lpa_ci_width_pp,smoking_point,smoking_lower,smoking_upper,smoking_range,smoking_ci_width_pp,sleep_point,sleep_lower,sleep_upper,sleep_range,sleep_ci_width_pp,diet_point,diet_lower,diet_upper,diet_range,diet_ci_width_pp,bp_point,bp_lower,bp_upper,bp_range,bp_ci_width_pp,chol_point,chol_lower,chol_upper,chol_range,chol_ci_width_pp,glucose_point,glucose_lower,glucose_upper,glucose_range,glucose_ci_width_pp,obesity_point,obesity_lower,obesity_upper,obesity_range,obesity_ci_width_pp
48159,Texas,TX,Franklin,within_state,partial,98.75,98.75,95,3.75,High,High,High,TRUE,97.5,97.5,95,2.5,100,100,95,5,100,100,100,0,7.799999999999997,100,100,100,0,3.5999999999999996,100,100,90,10,14.499999999999996,90,90,90,0,3.200000000000001,100,100,100,0,7.800000000000001,100,100,90,10,9.100000000000001,100,100,100,0,2.8000000000000007,100,100,90,10,16.1
48161,Texas,TX,Freestone,within_state,partial,52.5,58.75,47.5,11.25,Moderate,Moderate,Low,FALSE,50,50,42.5,7.5,55,67.5,52.5,15,60,60,50,10,9.3,30,30,30,0,4.600000000000001,50,50,30,20,14.900000000000006,60,60,60,0,3.8999999999999986,40,50,40,10,8.3,70,90,70,20,9.399999999999999,50,60,50,10,3.5,60,70,50,20,16.799999999999997
48163,Texas,TX,Frio,within_state,partial,17.5,25,16.25,8.75,Low,Low,Low,TRUE,15,20,15,5,20,30,17.5,12.5,10,10,10,0,10.599999999999994,30,30,30,0,4.600000000000001,10,30,10,20,15.300000000000004,10,10,10,0,5.599999999999998,30,40,30,10,8.899999999999999,10,30,10,20,9.900000000000002,10,10,10,0,4.300000000000001,30,40,20,20,17.199999999999996
48165,Texas,TX,Gaines,within_state,partial,45,50,42.5,7.5,Low,Moderate,Low,FALSE,47.5,50,45,5,42.5,50,40,10,40,40,40,0,9.499999999999996,50,50,50,0,4.4,70,80,60,20,14.5,30,30,30,0,4.600000000000001,60,70,50,20,8.499999999999996,30,40,30,10,9.599999999999998,40,40,40,0,3.5,40,50,40,10,16.599999999999994
48167,Texas,TX,Galveston,within_state,partial,88.75,77.5,95,17.5,High,Moderate,High,FALSE,95,82.5,97.5,15,82.5,72.5,92.5,20,100,90,100,10,5.699999999999999,100,100,100,0,3.299999999999999,90,50,100,50,8.300000000000004,90,90,90,0,3,90,90,90,0,7.599999999999998,100,100,100,0,8.7,90,80,90,10,2.799999999999999,50,20,90,70,9
48169,Texas,TX,Garza,within_state,partial,27.5,33.75,28.75,5,Low,Low,Low,TRUE,27.5,32.5,30,2.5,27.5,35,27.5,7.5,20,20,20,0,10.100000000000001,20,30,30,0,4.600000000000001,30,40,30,10,15,40,40,40,0,4.699999999999999,40,40,40,0,8.400000000000002,20,30,20,10,9.400000000000002,20,20,20,0,3.8999999999999986,30,50,30,20,17.1
48171,Texas,TX,Gillespie,within_state,partial,97.5,97.5,93.75,3.75,High,High,High,TRUE,95,95,92.5,2.5,100,100,95,5,90,90,90,0,8.7,90,90,90,0,4.1,100,100,90,10,14.799999999999997,100,100,100,0,2.799999999999999,100,100,100,0,8.2,100,100,90,10,9.499999999999996,100,100,100,0,3,100,100,90,10,16.400000000000002
48173,Texas,TX,Glasscock,within_state,partial,92.5,83.75,97.5,13.75,High,High,High,TRUE,100,100,100,0,85,67.5,95,27.5,100,100,100,0,7.599999999999998,100,100,100,0,3.200000000000001,100,100,100,0,14.300000000000004,100,100,100,0,2.9000000000000004,90,70,100,30,4.199999999999999,60,10,100,90,4.800000000000004,90,90,90,0,3,100,100,90,10,16
48175,Texas,TX,Goliad,within_state,partial,70,75,63.75,11.25,Moderate,Moderate,Moderate,TRUE,70,72.5,65,7.5,70,77.5,62.5,15,70,70,70,0,9.199999999999996,80,80,80,0,4.299999999999999,80,90,60,30,15.399999999999999,50,50,50,0,4.199999999999999,80,80,70,10,8.399999999999999,80,90,70,20,9.699999999999996,60,60,60,0,3.5,60,80,50,30,17.500000000000004
48177,Texas,TX,Gonzales,within_state,partial,46.25,51.25,43.75,7.5,Low,Moderate,Low,FALSE,50,52.5,47.5,5,42.5,50,40,10,30,30,30,0,9.7,60,60,60,0,4.299999999999999,70,80,60,20,14.7,40,40,40,0,4.5,50,60,50,10,8.400000000000002,30,40,20,20,9.800000000000004,40,40,40,0,3.5999999999999996,50,60,50,10,16.700000000000003
