"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Alger County, MI","26003",102,26385,386.6,311.6,461.6,38.3
,"Allegan County, MI","26005",994,364099,273.0,256.0,290.0,8.7
,"Alpena County, MI","26007",474,86644,547.1,497.8,596.3,25.1
,"Antrim County, MI","26009",304,72471,419.5,372.3,466.6,24.1
,"Arenac County, MI","26011",218,45209,482.2,418.2,546.2,32.7
,"Baraga County, MI","26013",77,24802,310.5,245.0,388.0,35.4
,"Barry County, MI","26015",569,190354,298.9,274.4,323.5,12.5
,"Bay County, MI","26017",1319,308306,427.8,404.7,450.9,11.8
,"Benzie County, MI","26019",208,54961,378.5,327.0,429.9,26.2
,"Berrien County, MI","26021",1883,458262,410.9,392.3,429.5,9.5
,"Branch County, MI","26023",460,134731,341.4,310.2,372.6,15.9
,"Calhoun County, MI","26025",1486,400474,371.1,352.2,389.9,9.6
,"Cass County, MI","26027",582,154528,376.6,346.0,407.2,15.6
,"Charlevoix County, MI","26029",336,78538,427.8,382.1,473.6,23.3
,"Cheboygan County, MI","26031",394,77740,506.8,456.8,556.9,25.5
,"Chippewa County, MI","26033",344,109373,314.5,281.3,347.8,17.0
,"Clare County, MI","26035",486,93733,518.5,472.4,564.6,23.5
,"Clinton County, MI","26037",694,238894,290.5,268.9,312.1,11.0
,"Crawford County, MI","26039",221,40233,549.3,476.9,621.7,36.9
,"Delta County, MI","26041",481,110357,435.9,396.9,474.8,19.9
,"Dickinson County, MI","26043",333,77643,428.9,382.8,475.0,23.5
,"Eaton County, MI","26045",1135,326756,347.4,327.1,367.6,10.3
,"Emmet County, MI","26047",402,102511,392.2,353.8,430.5,19.6
,"Genesee County, MI","26049",5199,1207713,430.5,418.8,442.2,6.0
,"Gladwin County, MI","26051",441,77066,572.2,518.8,625.6,27.2
,"Gogebic County, MI","26053",217,42904,505.8,438.5,573.1,34.3
,"Grand Traverse County, MI","26055",1013,288745,350.8,329.2,372.4,11.0
,"Gratiot County, MI","26057",521,124012,420.1,384.0,456.2,18.4
,"Hillsdale County, MI","26059",567,136895,414.2,380.1,448.3,17.4
,"Houghton County, MI","26061",333,111947,297.5,265.5,329.4,16.3
,"Huron County, MI","26063",499,93427,534.1,487.2,581.0,23.9
,"Ingham County, MI","26065",2352,852779,275.8,264.7,287.0,5.7
,"Ionia County, MI","26067",514,200268,256.7,234.5,278.8,11.3
,"Iosco County, MI","26069",437,76263,573.0,519.3,626.7,27.4
,"Iron County, MI","26071",170,34997,485.8,412.7,558.8,37.3
,"Isabella County, MI","26073",561,193378,290.1,266.1,314.1,12.2
,"Jackson County, MI","26075",1900,479540,396.2,378.4,414.0,9.1
,"Kalamazoo County, MI","26077",2162,784496,275.6,264.0,287.2,5.9
,"Kalkaska County, MI","26079",225,54651,411.7,357.9,465.5,27.4
,"Kent County, MI","26081",4997,1978483,252.6,245.6,259.6,3.6
,"Keweenaw County, MI","26083",24,6459,371.6,238.1,552.9,75.8
,"Lake County, MI","26085",169,37636,449.0,381.3,516.7,34.5
,"Lapeer County, MI","26087",1033,266270,388.0,364.3,411.6,12.1
,"Leelanau County, MI","26089",308,68512,449.6,399.3,499.8,25.6
,"Lenawee County, MI","26091",1083,295043,367.1,345.2,388.9,11.2
,"Livingston County, MI","26093",1840,587932,313.0,298.7,327.3,7.3
,"Luce County, MI","26095",73,17074,427.6,335.1,537.6,50.0
,"Mackinac County, MI","26097",167,32698,510.7,433.3,588.2,39.5
,"Macomb County, MI","26099",9281,2626088,353.4,346.2,360.6,3.7
,"Manistee County, MI","26101",360,76199,472.4,423.6,521.3,24.9
,"Marquette County, MI","26103",591,199763,295.9,272.0,319.7,12.2
,"Mason County, MI","26105",349,87951,396.8,355.2,438.4,21.2
,"Mecosta County, MI","26107",421,121850,345.5,312.5,378.5,16.8
,"Menominee County, MI","26109",343,69510,493.5,441.2,545.7,26.6
,"Midland County, MI","26111",781,251170,310.9,289.1,332.8,11.1
,"Missaukee County, MI","26113",195,45654,427.1,367.2,487.1,30.6
,"Monroe County, MI","26115",1629,465928,349.6,332.6,366.6,8.7
,"Montcalm County, MI","26117",698,202807,344.2,318.6,369.7,13.0
,"Montmorency County, MI","26119",189,28544,662.1,567.7,756.5,48.2
,"Muskegon County, MI","26121",1734,529640,327.4,312.0,342.8,7.9
,"Newaygo County, MI","26123",527,152290,346.1,316.5,375.6,15.1
,"Oakland County, MI","26125",12557,3809874,329.6,323.8,335.4,2.9
,"Oceana County, MI","26127",281,80769,347.9,307.2,388.6,20.8
,"Ogemaw County, MI","26129",364,62686,580.7,521.0,640.3,30.4
,"Ontonagon County, MI","26131",82,17637,464.9,369.8,577.1,51.3
,"Osceola County, MI","26133",260,69709,373.0,327.6,418.3,23.1
,"Oscoda County, MI","26135",153,25260,605.7,509.7,701.7,49.0
,"Otsego County, MI","26137",345,76680,449.9,402.4,497.4,24.2
,"Ottawa County, MI","26139",2120,903402,234.7,224.7,244.7,5.1
,"Presque Isle County, MI","26141",214,39739,538.5,466.4,610.7,36.8
,"Roscommon County, MI","26143",448,71204,629.2,570.9,687.4,29.7
,"Saginaw County, MI","26145",2107,565703,372.5,356.6,388.4,8.1
,"St. Clair County, MI","26147",1911,480078,398.1,380.2,415.9,9.1
,"St. Joseph County, MI","26149",700,182510,383.5,355.1,412.0,14.5
,"Sanilac County, MI","26151",586,121531,482.2,443.1,521.2,19.9
,"Schoolcraft County, MI","26153",107,24367,439.1,355.9,522.3,42.5
,"Shiawassee County, MI","26155",771,203924,378.1,351.4,404.8,13.6
,"Tuscola County, MI","26157",571,158688,359.8,330.3,389.3,15.1
,"Van Buren County, MI","26159",762,227148,335.5,311.6,359.3,12.2
,"Washtenaw County, MI","26161",2489,1101302,226.0,217.1,234.9,4.5
,"Wayne County, MI","26163",20040,5283028,379.3,374.1,384.6,2.7
,"Wexford County, MI","26165",433,102219,423.6,383.7,463.5,20.4
,"Aitkin County, MN","27001",190,48115,394.9,338.7,451.0,28.6
,"Anoka County, MN","27003",1930,1108323,174.1,166.4,181.9,4.0
,"Becker County, MN","27005",286,105873,270.1,238.8,301.4,16.0
,"Beltrami County, MN","27007",276,139897,197.3,174.0,220.6,11.9
,"Benton County, MN","27009",269,124522,216.0,190.2,241.8,13.2
,"Big Stone County, MN","27011",66,15394,428.7,331.6,545.5,52.8
,"Blue Earth County, MN","27013",450,208917,215.4,195.5,235.3,10.2
,"Brown County, MN","27015",248,77170,321.4,281.4,361.4,20.4
,"Carlton County, MN","27017",385,109942,350.2,315.2,385.2,17.8
,"Carver County, MN","27019",528,329717,160.1,146.5,173.8,7.0
,"Cass County, MN","27021",291,93359,311.7,275.9,347.5,18.3
,"Chippewa County, MN","27023",122,36813,331.4,272.6,390.2,30.0
,"Chisago County, MN","27025",355,173992,204.0,182.8,225.3,10.8
,"Clay County, MN","27027",398,197761,201.3,181.5,221.0,10.1
,"Clearwater County, MN","27029",69,25869,266.7,207.5,337.6,32.1
,"Cook County, MN","27031",37,16964,218.1,153.6,300.6,35.9
,"Cottonwood County, MN","27033",141,34244,411.8,343.8,479.7,34.7
,"Crow Wing County, MN","27035",544,203522,267.3,244.8,289.8,11.5
,"Dakota County, MN","27037",2325,1332819,174.4,167.4,181.5,3.6
,"Dodge County, MN","27039",158,63004,250.8,211.7,289.9,20.0
,"Douglas County, MN","27041",376,118859,316.3,284.4,348.3,16.3
